Customer_Id,Gender,Device_Type,Customer_Type,Product_Category,Product,Brand,Sales,Quantity,Discount,Profit,Shipping_Cost,Payment_Method,Order_Priority,Platform
4174,Male,Mobile,Returning,Groceries,Rice,Aashirvaad,35156,7,38,3522,42,Wallet,High,E-Commerce
4507,Male,Desktop,Returning,Groceries,Flour,Fortune,32265,2,27,2699,75,Cash,High,E-Commerce
1860,Female,Mobile,Returning,Toys,Puzzle,Mattel,17252,2,36,4763,169,Cash,Low,E-Commerce
2294,Male,Tablet,New,Clothing,Dress,Adidas,2262,1,5,120,123,Credit Card,Medium,E-Commerce
2130,Female,Mobile,Returning,Books,Textbook,Oxford,17877,7,11,2966,165,Wallet,Low,E-Commerce
2095,Female,Tablet,Returning,Beauty,Perfume,Dove,18071,7,47,3538,58,Wallet,Medium,E-Commerce
4772,Male,Mobile,Returning,Toys,Puzzle,Mattel,502,1,28,1285,150,Credit Card,High,E-Commerce
4092,Female,Mobile,New,Electronics,Headphones,Dell,28265,6,6,4992,155,Cash,Medium,E-Commerce
2638,Male,Tablet,New,Toys,Puzzle,Mattel,1263,7,22,512,152,UPI,Low,E-Commerce
3169,Female,Desktop,New,Beauty,Shampoo,L'Oreal,49022,1,23,4855,110,Credit Card,Low,E-Commerce
1466,Female,Desktop,New,Toys,Puzzle,Hasbro,25341,6,46,3850,24,Cash,Low,E-Commerce
2238,Male,Desktop,Returning,Clothing,Sweater,H&M,35750,9,40,4274,38,Cash,High,E-Commerce
1330,Male,Mobile,Returning,Electronics,Headphones,Sony,11421,1,32,1163,144,Cash,Low,E-Commerce
2482,Male,Mobile,Returning,Beauty,Perfume,Lakme,19724,2,39,2890,80,Cash,Low,E-Commerce
3135,Female,Desktop,New,Home Appliances,Iron,Whirlpool,22230,2,36,101,65,UPI,High,E-Commerce
4444,Female,Mobile,Returning,Groceries,Cooking Oil,Patanjali,19307,3,17,4965,165,Credit Card,Low,E-Commerce
4171,Male,Mobile,New,Books,Biography,HarperCollins,22265,4,10,1365,149,UPI,High,E-Commerce
3919,Male,Desktop,New,Toys,Puzzle,Mattel,27489,7,33,2234,197,Wallet,Low,E-Commerce
4735,Female,Tablet,New,Toys,Board Game,LEGO,13554,3,14,3218,90,UPI,High,E-Commerce
1130,Female,Mobile,Returning,Beauty,Shampoo,Maybelline,2975,7,44,2259,196,Wallet,High,E-Commerce
2685,Female,Mobile,Returning,Books,Textbook,Scholastic,39317,5,14,2206,133,Credit Card,Low,E-Commerce
4380,Male,Mobile,New,Toys,Puzzle,Hot Wheels,42524,5,38,4015,37,UPI,Medium,E-Commerce
1769,Female,Mobile,Returning,Groceries,Flour,Fortune,6497,7,24,3282,127,Wallet,Low,E-Commerce
3391,Male,Tablet,New,Beauty,Lipstick,Lakme,40692,7,37,3406,109,Credit Card,Medium,E-Commerce
2515,Female,Desktop,Returning,Clothing,Jeans,Adidas,7286,7,15,4055,163,Credit Card,Low,E-Commerce
4485,Female,Mobile,New,Electronics,Laptop,Samsung,46681,9,28,1022,65,Cash,Low,E-Commerce
3853,Male,Desktop,New,Groceries,Cooking Oil,Patanjali,22222,1,37,876,122,Wallet,Medium,E-Commerce
3433,Male,Mobile,New,Books,Comic,HarperCollins,11584,1,26,367,113,UPI,High,E-Commerce
2215,Male,Tablet,Returning,Books,Cookbook,Penguin,21918,3,16,816,172,UPI,Medium,E-Commerce
1955,Female,Desktop,Returning,Groceries,Cooking Oil,Amul,4965,6,34,2528,155,Credit Card,Medium,E-Commerce
3324,Female,Tablet,Returning,Home Appliances,Vacuum Cleaner,Philips,5446,2,36,3948,83,Cash,High,E-Commerce
2184,Female,Mobile,Returning,Clothing,Jacket,Adidas,11014,9,48,4844,161,Cash,Low,E-Commerce
1459,Male,Tablet,Returning,Toys,Toy Car,Hasbro,31289,1,23,2483,41,Cash,Medium,E-Commerce
4385,Female,Tablet,New,Clothing,Dress,Zara,41506,5,49,1067,135,Credit Card,Medium,E-Commerce
1021,Male,Mobile,Returning,Toys,Doll,Hot Wheels,4161,7,44,4198,97,Credit Card,Medium,E-Commerce
3300,Male,Mobile,New,Toys,Board Game,Mattel,3064,3,6,3077,110,Wallet,Low,E-Commerce
1747,Male,Desktop,Returning,Books,Textbook,HarperCollins,5427,2,18,2477,54,UPI,Medium,E-Commerce
3904,Female,Mobile,Returning,Toys,Action Figure,Mattel,44126,3,37,2211,123,UPI,Low,E-Commerce
4632,Female,Desktop,Returning,Groceries,Flour,Aashirvaad,17639,7,36,3091,198,Wallet,Medium,E-Commerce
1474,Male,Tablet,New,Home Appliances,Air Fryer,Whirlpool,48563,1,45,4403,95,Wallet,Medium,E-Commerce
2082,Female,Tablet,Returning,Toys,Doll,Hot Wheels,34720,8,23,2600,190,Credit Card,High,E-Commerce
3558,Male,Desktop,New,Groceries,Flour,Aashirvaad,6679,3,18,3937,94,UPI,Medium,E-Commerce
4753,Male,Mobile,Returning,Electronics,Tablet,HP,17788,5,8,1363,150,UPI,High,E-Commerce
3047,Female,Mobile,New,Books,Comic,Random House,2954,5,6,1754,126,UPI,High,E-Commerce
4547,Male,Tablet,New,Clothing,Jacket,Nike,20371,6,14,311,38,Credit Card,Low,E-Commerce
3747,Male,Desktop,New,Beauty,Lipstick,Dove,37328,7,33,1209,189,Credit Card,Medium,E-Commerce
1975,Female,Tablet,New,Clothing,Jacket,Zara,22688,1,19,1714,42,Wallet,Medium,E-Commerce
2806,Male,Tablet,Returning,Clothing,Sweater,H&M,48015,6,35,1409,23,Credit Card,High,E-Commerce
1189,Male,Mobile,Returning,Home Appliances,Iron,Philips,45223,2,37,4635,115,Credit Card,High,E-Commerce
4005,Male,Desktop,New,Beauty,Foundation,Maybelline,42238,3,33,2052,23,UPI,Low,E-Commerce
3734,Male,Tablet,Returning,Home Appliances,Microwave,Panasonic,47494,5,15,2319,110,UPI,Low,E-Commerce
4005,Male,Mobile,New,Books,Textbook,Random House,13619,1,49,3090,142,Wallet,High,E-Commerce
1562,Male,Tablet,Returning,Toys,Doll,Mattel,24372,7,44,1025,123,Credit Card,Medium,E-Commerce
2899,Male,Tablet,Returning,Electronics,Tablet,Sony,46652,1,13,1596,99,UPI,Low,E-Commerce
4638,Female,Mobile,Returning,Clothing,Jacket,Zara,24620,8,33,1983,49,UPI,Medium,E-Commerce
2267,Female,Mobile,New,Home Appliances,Microwave,Panasonic,34869,6,41,1813,121,Wallet,High,E-Commerce
3879,Male,Desktop,Returning,Toys,Puzzle,Fisher-Price,29815,1,25,3655,180,UPI,High,E-Commerce
2528,Male,Tablet,New,Clothing,Dress,Nike,29584,7,35,2312,180,Wallet,High,E-Commerce
4202,Female,Desktop,Returning,Books,Textbook,Penguin,4343,3,26,464,39,UPI,Low,E-Commerce
4556,Female,Mobile,New,Books,Biography,Penguin,49012,7,22,676,67,Wallet,Low,E-Commerce
4890,Female,Mobile,Returning,Groceries,Cooking Oil,Fortune,4175,8,6,4084,46,Wallet,High,E-Commerce
1646,Female,Tablet,New,Books,Biography,Oxford,12549,3,26,702,179,Wallet,Medium,E-Commerce
3068,Female,Desktop,New,Books,Cookbook,Penguin,34273,5,41,4836,174,Cash,Low,E-Commerce
3888,Male,Desktop,New,Clothing,Sweater,Adidas,731,2,24,562,44,Cash,High,E-Commerce
3214,Female,Tablet,Returning,Electronics,Tablet,Apple,12345,2,8,3662,85,Credit Card,High,E-Commerce
2297,Female,Tablet,New,Home Appliances,Air Fryer,Panasonic,23460,1,30,2494,31,Credit Card,Medium,E-Commerce
3435,Female,Desktop,Returning,Clothing,T-shirt,Levi's,49642,3,24,859,120,UPI,Low,E-Commerce
1600,Male,Mobile,New,Home Appliances,Air Fryer,Panasonic,16730,4,26,2959,193,Cash,Low,E-Commerce
3363,Male,Mobile,New,Toys,Action Figure,Hot Wheels,19017,3,47,4545,67,Wallet,High,E-Commerce
3061,Male,Tablet,New,Home Appliances,Vacuum Cleaner,Panasonic,28912,8,24,3949,131,Credit Card,High,E-Commerce
1241,Male,Desktop,Returning,Books,Cookbook,Random House,48657,1,33,2771,125,Credit Card,Low,E-Commerce
3041,Male,Desktop,Returning,Groceries,Cooking Oil,Amul,18574,5,35,552,104,Wallet,High,E-Commerce
3824,Male,Desktop,Returning,Electronics,Smartwatch,Apple,18107,7,27,89,56,Wallet,Medium,E-Commerce
4417,Female,Mobile,Returning,Groceries,Rice,Fortune,38238,9,48,3060,151,Cash,High,E-Commerce
3612,Male,Mobile,Returning,Beauty,Shampoo,Maybelline,19087,1,42,4494,109,Wallet,Medium,E-Commerce
3945,Male,Desktop,Returning,Groceries,Flour,Patanjali,48360,9,20,271,90,Credit Card,Low,E-Commerce
2363,Female,Desktop,Returning,Groceries,Cooking Oil,Aashirvaad,9589,9,23,1515,121,Credit Card,High,E-Commerce
3139,Male,Tablet,New,Toys,Board Game,Fisher-Price,48135,4,15,3685,194,Cash,Low,E-Commerce
2390,Female,Tablet,New,Books,Cookbook,Penguin,8382,5,16,4209,66,UPI,Low,E-Commerce
4003,Female,Desktop,Returning,Toys,Doll,Hot Wheels,26945,6,40,1077,139,Cash,Medium,E-Commerce
2478,Male,Desktop,Returning,Books,Cookbook,Random House,41611,4,17,1529,36,Credit Card,High,E-Commerce
4499,Female,Mobile,Returning,Toys,Action Figure,LEGO,32320,6,6,1091,51,Cash,Low,E-Commerce
3556,Female,Desktop,Returning,Books,Biography,Scholastic,17055,5,15,1956,157,UPI,Medium,E-Commerce
1775,Female,Tablet,Returning,Home Appliances,Vacuum Cleaner,LG,6024,3,5,2879,197,Credit Card,Medium,E-Commerce
1034,Female,Mobile,New,Books,Textbook,Random House,34697,3,45,3495,37,Wallet,Medium,E-Commerce
3253,Male,Tablet,Returning,Books,Biography,Random House,21741,9,14,3487,182,Credit Card,Low,E-Commerce
4152,Female,Tablet,Returning,Groceries,Pasta,Patanjali,22701,5,7,4496,25,Wallet,Low,E-Commerce
2955,Male,Mobile,Returning,Beauty,Shampoo,L'Oreal,20317,3,12,2196,22,Credit Card,Medium,E-Commerce
2585,Female,Tablet,New,Books,Textbook,Random House,36467,8,20,947,54,UPI,High,E-Commerce
4943,Female,Desktop,New,Beauty,Foundation,Nivea,10590,8,40,3540,96,Wallet,Medium,E-Commerce
4459,Female,Tablet,New,Beauty,Lipstick,L'Oreal,32766,3,47,4494,121,Credit Card,Low,E-Commerce
4073,Male,Mobile,New,Clothing,Jeans,Adidas,18243,7,44,3959,85,Wallet,High,E-Commerce
2021,Male,Mobile,Returning,Clothing,Jacket,Zara,40700,9,43,626,70,Credit Card,Medium,E-Commerce
4461,Male,Mobile,New,Electronics,Smartwatch,Apple,31414,3,24,1294,143,UPI,Low,E-Commerce
3613,Female,Tablet,New,Home Appliances,Iron,LG,47337,8,12,3132,92,Cash,Low,E-Commerce
2129,Female,Desktop,New,Toys,Toy Car,Mattel,16983,1,14,239,181,UPI,Medium,E-Commerce
4843,Female,Mobile,New,Clothing,Jacket,Adidas,47143,3,41,4004,186,Cash,High,E-Commerce
4893,Female,Desktop,New,Books,Biography,Random House,20326,4,36,4231,114,Credit Card,High,E-Commerce
2500,Male,Mobile,Returning,Beauty,Lipstick,L'Oreal,13696,3,31,4690,68,UPI,Medium,E-Commerce
1702,Female,Desktop,New,Toys,Action Figure,Fisher-Price,26996,9,35,3116,194,UPI,Low,E-Commerce
